version	path	line	kind	context	source
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2289	RECORD_EMIT	ModuleBitcodeWriter::writeDIAssignID	Stream.EmitRecord(bitc::METADATA_ASSIGN_ID, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2301	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_TEMPLATE_TYPE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2315	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_TEMPLATE_VALUE, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2337	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_GLOBAL_VAR, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2369	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_LOCAL_VAR, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2387	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_LABEL, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2399	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_EXPRESSION, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2410	RECORD_EMIT	ModuleBitcodeWriter::writeDIGlobalVariableExpression	Stream.EmitRecord(bitc::METADATA_GLOBAL_VAR_EXPR, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2426	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_OBJC_PROPERTY, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2442	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_IMPORTED_ENTITY, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2451	LOCAL_ABBREV_DEFINE	std::move	return Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2464	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_NAME, Record, Abbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2470	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_NAMED_NODE, Record, 0);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2481	LOCAL_ABBREV_DEFINE	std::move	return Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2514	RECORD_WITH_BLOB	UNRESOLVED_CONTEXT	Stream.EmitRecordWithBlob(createMetadataStringsAbbrev(), Record, Blob);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2567	BLOCK_ENTER	ModuleBitcodeWriter::writeModuleMetadata	Stream.EnterSubblock(bitc::METADATA_BLOCK_ID, 4);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2583	LOCAL_ABBREV_DEFINE	std::move	unsigned OffsetAbbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2589	LOCAL_ABBREV_DEFINE	std::move	unsigned IndexAbbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2602	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_INDEX_OFFSET, Vals, OffsetAbbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2622	BACKPATCH	UNRESOLVED_CONTEXT	Stream.BackpatchWord64(IndexOffsetRecordBitPos - 64,
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2633	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_INDEX, IndexPos, IndexAbbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2644	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_GLOBAL_DECL_ATTACHMENT, Record);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2665	BLOCK_ENTER	ModuleBitcodeWriter::writeFunctionMetadata	Stream.EnterSubblock(bitc::METADATA_BLOCK_ID, 3);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2684	BLOCK_ENTER	ModuleBitcodeWriter::writeFunctionMetadataAttachment	Stream.EnterSubblock(bitc::METADATA_ATTACHMENT_ID, 3);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2690	RECORD_EMIT	ModuleBitcodeWriter::writeFunctionMetadataAttachment	Stream.EmitRecord(bitc::METADATA_ATTACHMENT, Record, 0);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2711	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_ATTACHMENT, Record, 0);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2728	BLOCK_ENTER	UNRESOLVED_CONTEXT	Stream.EnterSubblock(bitc::METADATA_KIND_BLOCK_ID, 3);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2735	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::METADATA_KIND, Record, 0);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2755	BLOCK_ENTER	UNRESOLVED_CONTEXT	Stream.EnterSubblock(bitc::OPERAND_BUNDLE_TAGS_BLOCK_ID, 3);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2762	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::OPERAND_BUNDLE_TAG, Record, 0);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2775	BLOCK_ENTER	ModuleBitcodeWriter::writeSyncScopeNames	Stream.EnterSubblock(bitc::SYNC_SCOPE_NAMES_BLOCK_ID, 2);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2780	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::SYNC_SCOPE_NAME, Record, 0);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2791	BLOCK_ENTER	ModuleBitcodeWriter::writeConstants	Stream.EnterSubblock(bitc::CONSTANTS_BLOCK_ID, 4);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2804	LOCAL_ABBREV_DEFINE	std::move	AggregateAbbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2811	LOCAL_ABBREV_DEFINE	std::move	String8Abbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2817	LOCAL_ABBREV_DEFINE	std::move	CString7Abbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2823	LOCAL_ABBREV_DEFINE	std::move	CString6Abbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2836	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::CST_CODE_SETTYPE, Record,
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	2856	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::CST_CODE_INLINEASM, Record);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3045	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(Code, Record, AbbrevToUse);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3110	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::FUNC_CODE_OPERAND_BUNDLE, Record);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3432	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(Code, Vals64, AbbrevToUse);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3592	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(Code, Vals, AbbrevToUse);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3609	BACKPATCH	UNRESOLVED_CONTEXT	Stream.BackpatchWord(VSTOffsetPlaceholder, VSTOffset / 32 + 1);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3611	BLOCK_ENTER	UNRESOLVED_CONTEXT	Stream.EnterSubblock(bitc::VALUE_SYMTAB_BLOCK_ID, 4);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3617	LOCAL_ABBREV_DEFINE	std::move	unsigned FnEntryAbbrev = Stream.EmitAbbrev(std::move(Abbv));
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3636	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::VST_CODE_FNENTRY, Record, FnEntryAbbrev);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3648	BLOCK_ENTER	ModuleBitcodeWriter::writeFunctionLevelValueSymbolTable	Stream.EnterSubblock(bitc::VALUE_SYMTAB_BLOCK_ID, 4);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3680	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(Code, NameVals, AbbrevToUse);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3697	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(Code, Record);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3711	BLOCK_ENTER	UNRESOLVED_CONTEXT	Stream.EnterSubblock(bitc::USELIST_BLOCK_ID, 3);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3727	BLOCK_ENTER	ModuleBitcodeWriter::writeFunction	Stream.EnterSubblock(bitc::FUNCTION_BLOCK_ID, 5);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3735	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::FUNC_CODE_DECLAREBLOCKS, Vals);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3769	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::FUNC_CODE_DEBUG_LOC_AGAIN, Vals);
