corpus	pair_index	order_position	variant	exit_code	elapsed_ns	cpu_ns	peak_working_set_bytes	nodes	arcs	returned_bits	build_ns	sequential_validate_ns	ef_build_ns	random_validate_and_query_ns	harness_query_checksum	reader_exit_code	reader_process_elapsed_ns	reader_process_cpu_ns	reader_peak_working_set_bytes	reader_sequential_full_decode_ns	reader_random_100k_ns	reader_sequential_checksum	reader_random_checksum	native_payload_bytes	graph_sha256	offsets_sha256	properties_sha256	ef_sha256
wiki-vote	4	0	baseline	0	115027800	78125000	13565952	7115	103689	876503	28046000	10725000	1191000	13427600	15912400819775153403	0	82446400	46875000	6778880	1246000	33800400	8405750924769033072	15713523021230978864	118664	DD46557BBE1B69072CD23DC7631FFB631A2FA3C7C874649B591E7F2B6B66A327	4C397BF171D9D3A58CEC7F104654FA5C23E3D71B1238C2C65569CE05FE1A3267	6E364DAD11D1F42A3DB724F8E792AA8680BA8CAC919FF08C158B7D4BDDD658A2	160D56AF4DCF4ECBF02D3A7782525F280EC7AC41685ED07EECFFFB09D4DC8386
wiki-vote	4	1	candidate	0	211782800	156250000	13516800	7115	103689	875555	120306600	10865400	1066400	11821500	15912400819775153403	0	88964500	46875000	6848512	1027500	34259600	8405750924769033072	15713523021230978864	118537	0550AFDA16D8D1724B5F527F675E579EFCD993DD164901B518CA32E10E8F234D	DC4FA4B150A3831677B78F000C9656E3F9FC9E972AD2BADE749DA27BBF07C40A	B3E57A67D465F432E3FDBEA30ADD6D30834E816B16EBB3263986A5DFC15892F3	17DD219B0B7116955503649259BB5BE7997B9B4E011B9C2DEE69ED403BC5E0CA
wiki-vote	5	0	candidate	0	197839000	156250000	13369344	7115	103689	875555	121590000	9859800	1380700	12875300	15912400819775153403	0	78841800	46875000	6807552	1040900	33446200	8405750924769033072	15713523021230978864	118537	0550AFDA16D8D1724B5F527F675E579EFCD993DD164901B518CA32E10E8F234D	DC4FA4B150A3831677B78F000C9656E3F9FC9E972AD2BADE749DA27BBF07C40A	B3E57A67D465F432E3FDBEA30ADD6D30834E816B16EBB3263986A5DFC15892F3	17DD219B0B7116955503649259BB5BE7997B9B4E011B9C2DEE69ED403BC5E0CA
wiki-vote	5	1	baseline	0	113908000	93750000	13283328	7115	103689	876503	27202700	10673100	1167600	12169500	15912400819775153403	0	80694700	46875000	6795264	1017800	33829700	8405750924769033072	15713523021230978864	118664	DD46557BBE1B69072CD23DC7631FFB631A2FA3C7C874649B591E7F2B6B66A327	4C397BF171D9D3A58CEC7F104654FA5C23E3D71B1238C2C65569CE05FE1A3267	6E364DAD11D1F42A3DB724F8E792AA8680BA8CAC919FF08C158B7D4BDDD658A2	160D56AF4DCF4ECBF02D3A7782525F280EC7AC41685ED07EECFFFB09D4DC8386
wiki-vote	6	0	baseline	0	106626000	93750000	13357056	7115	103689	876503	25694400	11945100	1198600	14025800	15912400819775153403	0	94855200	31250000	6770688	1227800	35516000	8405750924769033072	15713523021230978864	118664	DD46557BBE1B69072CD23DC7631FFB631A2FA3C7C874649B591E7F2B6B66A327	4C397BF171D9D3A58CEC7F104654FA5C23E3D71B1238C2C65569CE05FE1A3267	6E364DAD11D1F42A3DB724F8E792AA8680BA8CAC919FF08C158B7D4BDDD658A2	160D56AF4DCF4ECBF02D3A7782525F280EC7AC41685ED07EECFFFB09D4DC8386
wiki-vote	6	1	candidate	0	212475200	171875000	13438976	7115	103689	875555	125166900	10496000	1150100	13232600	15912400819775153403	0	86805200	78125000	6782976	1233100	35289400	8405750924769033072	15713523021230978864	118537	0550AFDA16D8D1724B5F527F675E579EFCD993DD164901B518CA32E10E8F234D	DC4FA4B150A3831677B78F000C9656E3F9FC9E972AD2BADE749DA27BBF07C40A	B3E57A67D465F432E3FDBEA30ADD6D30834E816B16EBB3263986A5DFC15892F3	17DD219B0B7116955503649259BB5BE7997B9B4E011B9C2DEE69ED403BC5E0CA
wiki-vote	7	0	candidate	0	187559800	125000000	13516800	7115	103689	875555	114485900	10922300	1273000	11717800	15912400819775153403	0	85086100	46875000	6782976	1050400	33905000	8405750924769033072	15713523021230978864	118537	0550AFDA16D8D1724B5F527F675E579EFCD993DD164901B518CA32E10E8F234D	DC4FA4B150A3831677B78F000C9656E3F9FC9E972AD2BADE749DA27BBF07C40A	B3E57A67D465F432E3FDBEA30ADD6D30834E816B16EBB3263986A5DFC15892F3	17DD219B0B7116955503649259BB5BE7997B9B4E011B9C2DEE69ED403BC5E0CA
wiki-vote	7	1	baseline	0	106026700	78125000	13361152	7115	103689	876503	25978900	9329600	1315400	12651900	15912400819775153403	0	116457000	46875000	6791168	1034500	33127900	8405750924769033072	15713523021230978864	118664	DD46557BBE1B69072CD23DC7631FFB631A2FA3C7C874649B591E7F2B6B66A327	4C397BF171D9D3A58CEC7F104654FA5C23E3D71B1238C2C65569CE05FE1A3267	6E364DAD11D1F42A3DB724F8E792AA8680BA8CAC919FF08C158B7D4BDDD658A2	160D56AF4DCF4ECBF02D3A7782525F280EC7AC41685ED07EECFFFB09D4DC8386
wiki-vote	8	0	baseline	0	99482200	46875000	13565952	7115	103689	876503	24565100	10899200	1260100	12722500	15912400819775153403	0	90273300	62500000	6778880	1052300	33537100	8405750924769033072	15713523021230978864	118664	DD46557BBE1B69072CD23DC7631FFB631A2FA3C7C874649B591E7F2B6B66A327	4C397BF171D9D3A58CEC7F104654FA5C23E3D71B1238C2C65569CE05FE1A3267	6E364DAD11D1F42A3DB724F8E792AA8680BA8CAC919FF08C158B7D4BDDD658A2	160D56AF4DCF4ECBF02D3A7782525F280EC7AC41685ED07EECFFFB09D4DC8386
wiki-vote	8	1	candidate	0	200349800	203125000	13520896	7115	103689	875555	127088400	11826500	1128900	12991400	15912400819775153403	0	106729700	31250000	6807552	1081500	33327300	8405750924769033072	15713523021230978864	118537	0550AFDA16D8D1724B5F527F675E579EFCD993DD164901B518CA32E10E8F234D	DC4FA4B150A3831677B78F000C9656E3F9FC9E972AD2BADE749DA27BBF07C40A	B3E57A67D465F432E3FDBEA30ADD6D30834E816B16EBB3263986A5DFC15892F3	17DD219B0B7116955503649259BB5BE7997B9B4E011B9C2DEE69ED403BC5E0CA
wiki-vote	9	0	candidate	0	215516100	171875000	13484032	7115	103689	875555	114364500	9061200	1155100	14266100	15912400819775153403	0	87385200	46875000	6823936	1040500	34278900	8405750924769033072	15713523021230978864	118537	0550AFDA16D8D1724B5F527F675E579EFCD993DD164901B518CA32E10E8F234D	DC4FA4B150A3831677B78F000C9656E3F9FC9E972AD2BADE749DA27BBF07C40A	B3E57A67D465F432E3FDBEA30ADD6D30834E816B16EBB3263986A5DFC15892F3	17DD219B0B7116955503649259BB5BE7997B9B4E011B9C2DEE69ED403BC5E0CA
wiki-vote	9	1	baseline	0	111312300	46875000	13402112	7115	103689	876503	26367700	9313000	1668800	14916300	15912400819775153403	0	92911400	46875000	7069696	1037900	33072100	8405750924769033072	15713523021230978864	118664	DD46557BBE1B69072CD23DC7631FFB631A2FA3C7C874649B591E7F2B6B66A327	4C397BF171D9D3A58CEC7F104654FA5C23E3D71B1238C2C65569CE05FE1A3267	6E364DAD11D1F42A3DB724F8E792AA8680BA8CAC919FF08C158B7D4BDDD658A2	160D56AF4DCF4ECBF02D3A7782525F280EC7AC41685ED07EECFFFB09D4DC8386
wiki-vote	10	0	baseline	0	114815400	46875000	13398016	7115	103689	876503	25662200	10177200	1226600	14288000	15912400819775153403	0	95651600	62500000	6807552	1305400	34544400	8405750924769033072	15713523021230978864	118664	DD46557BBE1B69072CD23DC7631FFB631A2FA3C7C874649B591E7F2B6B66A327	4C397BF171D9D3A58CEC7F104654FA5C23E3D71B1238C2C65569CE05FE1A3267	6E364DAD11D1F42A3DB724F8E792AA8680BA8CAC919FF08C158B7D4BDDD658A2	160D56AF4DCF4ECBF02D3A7782525F280EC7AC41685ED07EECFFFB09D4DC8386
wiki-vote	10	1	candidate	0	208805400	140625000	13836288	7115	103689	875555	120635500	9843800	1212900	12497100	15912400819775153403	0	104640400	46875000	7077888	1112500	33600500	8405750924769033072	15713523021230978864	118537	0550AFDA16D8D1724B5F527F675E579EFCD993DD164901B518CA32E10E8F234D	DC4FA4B150A3831677B78F000C9656E3F9FC9E972AD2BADE749DA27BBF07C40A	B3E57A67D465F432E3FDBEA30ADD6D30834E816B16EBB3263986A5DFC15892F3	17DD219B0B7116955503649259BB5BE7997B9B4E011B9C2DEE69ED403BC5E0CA
